Division,District,NRC Name,No of Beds
Bhopal,Bhopal,AIIMS Bhopal,20
Bhopal,Bhopal,Bairagarh,10
Bhopal,Bhopal,Berasia,10
Bhopal,Bhopal,JPHospitalDH,10
Bhopal,Bhopal,Kolar,10
Bhopal,Bhopal,PeoplesHosp,10
Bhopal,Raisen,Bareli,10
Bhopal,Raisen,Begamganj,10
Bhopal,Raisen,Mandideep,10
Bhopal,Raisen,RaisenDH,10
Bhopal,Raisen,silwani,10
Bhopal,Raisen,Udaypura,10
Bhopal,Rajgarh,Biaora,10
Bhopal,Rajgarh,Khilchipur,10
Bhopal,Rajgarh,Narsingarh,10
Bhopal,Rajgarh,RajgarhDH,20
Bhopal,Rajgarh,Sarangpur,10
Bhopal,Rajgarh,Zirapur,10
Bhopal,Sehore,Ashta,10
Bhopal,Sehore,Budhni,10
Bhopal,Sehore,Larkui,10
Bhopal,Sehore,Nasrullaganj,10
Bhopal,Sehore,Rehti,10
Bhopal,Sehore,SehoreDH,20
Bhopal,Vidisha,Ganjbasoda,10
Bhopal,Vidisha,Gyraspur,10
Bhopal,Vidisha,Kurwai,10
Bhopal,Vidisha,Sironj,10
Bhopal,Vidisha,VidishaDH,20
Chambal,Bhind,Ater,10
Chambal,Bhind,BhindDH,20
Chambal,Bhind,Gohad,10
Chambal,Bhind,Lahar,10
Chambal,Bhind,Mehgaon,10
Chambal,Morena,Ambah,10
Chambal,Morena,Jaora,10
Chambal,Morena,Kailaras,10
Chambal,Morena,MorenaDH,20
Chambal,Morena,Pahargarh,10
Chambal,Morena,Sabalgarh,10
Chambal,Sheopur,Karahal,20
Chambal,Sheopur,SheopurDH,20
Chambal,Sheopur,Vijaypur,20
Gwalior,Ashok Nagar,AshoknagarDH,20
Gwalior,Ashok Nagar,Chanderi,20
Gwalior,Ashok Nagar,Isagarh,10
Gwalior,Ashok Nagar,Mugawli,20
Gwalior,Datia,Basai,10
Gwalior,Datia,Bhander,10
Gwalior,Datia,DatiaDH,15
Gwalior,Datia,Indargarh,10
Gwalior,Datia,Sevda,10
Gwalior,Guna,Aron,10
Gwalior,Guna,Bamori,10
Gwalior,Guna,Binaganj,10
Gwalior,Guna,GunaDH,20
Gwalior,Guna,Myana,10
Gwalior,Guna,Raghogarh,10
Gwalior,Gwalior,Barai,5
Gwalior,Gwalior,Bhitarwar,10
Gwalior,Gwalior,Dabra,20
Gwalior,Gwalior,Mohana,10
Gwalior,Gwalior,SMTU Gwalior,20
Gwalior,Gwalior,Thatipur,20
Gwalior,Shivpuri,Badarwas,10
Gwalior,Shivpuri,Karera,20
